professor,course,review,rating,expected_grade,created
Maksym Morawski,CMSC320,DO NOT take this class with Maksym Moraswki. His lectures is interesting but has nothing to do with our project/exam. His project description does not match how he grade it.,1,B-,2022-10-17T20:55:12.884947Z
Maksym Morawski,CMSC320,"Love how the rate my prof ratings are so much better. https://www.ratemyprofessors.com/professor?tid=1822434. 
Exam wasn't that bad as long as you listen to what he says in class. He doesn't always teach everything in lectures, a lot of self learning is expected of you as well; however, he always points out the topics you have to self learn. It is very clear and probably like an hour of learning outside of class a week.",5,A,2022-10-19T19:38:30.116079Z
Maksym Morawski,,Avoid him. He rewrote the whole class and made all contents unrelated to the projects and exams. His lectures are not useful at all.,1,,2022-10-26T19:19:21.864130Z
Maksym Morawski,CMSC320,"He doesn't know how to teach. He deleted all lecture slides from the previous semester which are rather clear and useful, and teach classes without slides. He also canceled a bunch of classes without trying to make up.",1,,2022-10-26T19:23:52.079928Z
Maksym Morawski,CMSC320,"Classroom lectures, while interesting, aren't relevant at all to what's actually on the exam, and concepts that are briefly glossed over in class show up as a full-fledged exam question. Nothing in class is really relevant to the knowledge needed to complete the projects past the first couple of lectures.",1,C+,2022-10-27T19:51:36.707432Z
Maksym Morawski,,"Cool guy, awful professor. He's always extremely unorganized and unprepared so he just rambles during lecture about things that aren't related to the projects. Additionally, he regularly entertains useless questions that have nothing to do with the class, leading him to go on all sorts of tangents and impromptu comedy bits. He still doesn't understand how to use ELMS, Gradescope, or his class webpage, so from a student's perspective, that makes it really difficult to remember when and where to submit an assignment or take a quiz. Don't take his classes.",1,,2022-11-02T19:58:43.949397Z
Maksym Morawski,CMSC320,I learned nothing from his class.,1,B,2022-11-02T20:31:40.656533Z
Maksym Morawski,CMSC320,"Horrible professor contingent on making your life as confusing and miserable as possible. First exam was a complete crapshoot, so bad in fact that there was not even a GradeScope timer. Genuinely ignore the 5 star review. I ended up with above a 100% on the exam after this curve to compensate how horrible the exam was (removed 10 points from a 42 exam) and I'm telling you he's horrible. Quite horrible.",1,A-,2022-11-07T02:32:08.936343Z
Maksym Morawski,CMSC320,"Great guy, very funny, clearly has experience with what he is teaching. While the first midterm we had did have some more vague questions, it was graded very fair with a curve and numerous questions converted to extra credit. Lectures don't always line-up exactly with projects/exams but are interesting in useful in overall terms for data science. Would guarantee most of the reviews on here that are negative are people who aren't putting in effort/starting projects last minute, etc. Would highly recommend for anyone interested in data science and would advise to take most of these negative reviews with a grain of salt/open mind",5,A,2022-11-07T04:02:41.205259Z
Maksym Morawski,CMSC320,"Max is a really nice guy and on the first day of class got me excited about the course by telling some very interesting stories about his time in the industry. This was the first time in a CS class that I had been excited to learn or thought to myself, “wow that sounds like something I want to do when I graduate.”

That is why I’m extra disappointed by this class. I suspect that all the Max does to prepare for each day is make a general list of things he wants to talk about and the occasional very plain PowerPoint which he doesn’t stick to. What happens in class is that he simply rambles about said topics without any semblance of structure. There are no key points even if he is using a visual aid. Max will often hand write notes but this is pretty spotty and no one would be able to understand the full picture if they were to try to go back and look at the notes. It is often as if his lectures are simply a conversation between him and people sitting in the front row which quickly breaks down the flow of class and creates too many tangents. It also reveals how unprepared he is when people ask questions and he realizes he should have planned to address that but that it had slipped his mind. This is only a small summary of the issues in this class. Projects are way too hard in comparison for how casually he teaches and test questions seem to be first drafts without any revision. Unless you have the time or personality that would allow you to live in his office hours, don’t expect to get much from Max because his lectures are very difficult to learn from.",1,C,2022-11-07T21:29:23.929820Z
Maksym Morawski,CMSC320,"easy class, only con is you have to take it with Max. Fun if you want to hear a tech bro boast about his salary every lecture",1,A,2022-11-08T01:52:54.784023Z
Maksym Morawski,CMSC320,"This review is after Maks addressed what has happened in the class and the midterm recently, which is why you are going to wonder why all the 1 star reviews.
I do agree that he isn't the greatest lecturer, and that a lot of topics that he very lightly brushed on the exam came in full force in the midterm, however I am posting this after he gave an EXTREMELY generous curve and on top of that he admitted that a lot of the questions that seemed out of scope of the class or  that were badly written, well that was actually the case, and he made it up within the curve that he gave us.

It's his first time teaching this course, not sure if actually it's his first time lecturing huge sections, and actually. I was frustrated too with his lectures but I can see why he wants us to learn all of this and he is trying to re-make the class. It's to get us to think data-wise and not just be code monkeys who just do python,sql, and stuff to whatever we are told to do for the projects. He is a caring and great guy and I have never seen instructors be so caring to the point of admitting their own mistakes and taking student input in order to improve.

There could be more in depth examples and case scenarios for the next exams theory/stat/math wise, and perhaps include a bit of the project stuff in class, but he is great and trying his best at getting us to get the most out of this course.",5,A,2022-11-08T03:49:53.714517Z
Maksym Morawski,CMSC320,"The way that CMSC320 is being taught in the fall 2022 is a disaster. 
The class was known as a easy CMSC elective class. But it is not this semester. Morawski is a cool, fun guy. Maybe caring according to my friends, but he is far away from good professor this semester. 
He has a few little lecture slides at the beginning of the semester, but no more after he decided to remake the class. We get speaker notes sometimes, but it is only converging the topics he went over. Furthermore, the lectures he gave doesn't teach us how to do our projects and exams well. We basically need to learn how to do the project on our own - it is much workload that I was expecting for CMSC320. It is probably the workload similar to CMSC216. BTW I start projects early so I can ask TA for help, but they are still time consuming and suffering because you have to find out what are expecting (the project description doesn't always tell you where you graded on) and teach yourselves (since you didn't really learn how to do the project yourself)
Also, I do agree that he is trying to make ""us to think data-wise and not just be code monkeys"". But we need to think data-wise AND how to code.  
Many of the exams questions went far away from the scope of the class. And some are bad written. The projects we did (and cmsc320 is project heavy class) probably worth 6 points in the 42 points exam (which is 32 after he gave curve). Also there is no timer on the gradescope when we took the exam so we will realize ""we had to time ourselves!"" after you read the exam starts 3-5 mins. 
He might improve next semester (Spring 2023) based on the feedback he got this semester, but honestly, if you have choice, try to wait a semester to see how it went . At this point, I will say he is definitely 1/5 at CMSC320. If you have to, I will suggest to treat this class not as elective CMSC class that is kinda easy as the previous reviews have, treat it as a CMSC216 class that will took your lots efforts to get A.",1,W,2022-11-09T20:00:45.605784Z
Maksym Morawski,CMSC320,"I really enjoy his class. He makes the material fun and engaging, and added a lot of real world applications to our lessons.

This is his first semester teaching it, and so it's a bit bumpy because of the transition to new material, but he's been doing his best to make it smooth and respond to student feedback",5,A+,2022-11-09T20:22:37.155109Z
Maksym Morawski,CMSC320,Really gracious curve and very responsive to feedback. Really interesting class.,5,A,2022-11-09T20:25:20.819542Z
