professor,course,gpa
Maksym Morawski,CMSC106,3.194871794871795
Maksym Morawski,CMSC250,2.9169491525423727
Maksym Morawski,CMSC320,3.4298804780876493
Maksym Morawski,CMSC351,2.782662192393736
Maksym Morawski,GEOG110,3.537037037037037
Maksym Morawski,GEOG330,3.5468965517241378
Shane Walsh,AASP100,3.6265360169491525
Shane Walsh,AASP100H,4.0
Shane Walsh,AASP211,3.862264150943396
Shane Walsh,AASP402,3.864705882352941
Susan Pramschufer,AMST204,3.0225071225071227
Susan Pramschufer,AMST213,3.2162790697674417
Susan Pramschufer,AMST320,3.441025641025641
Susan Pramschufer,AMST328X,3.240789473684211
Susan Pramschufer,AMST418K,2.771232876712329
Susan Pramschufer,ENGL101,3.0777589134125636
Susan Pramschufer,ENGL101C,3.062962962962963
Susan Pramschufer,ENGL101S,3.3578947368421055
Susan Pramschufer,ENGL300,2.2409090909090907
Susan Pramschufer,HONR219F,3.4711864406779664
Asim Ali,AMST210,3.0683673469387753
Asim Ali,AMST260,3.187311178247734
Asim Ali,AMST289A,3.5031645569620253
Asim Ali,AMST315,3.2484848484848485
Asim Ali,AMST328R,3.0422535211267605
Asim Ali,AMST340,2.9699999999999998
Asim Ali,AMST386,3.3266666666666667
Asim Ali,AMST450,3.689473684210526
Asim Ali,AMST498X,3.1363636363636362
Becky Epanchin-Niell,AREC200,3.2535000000000003
Becky Epanchin-Niell,GEMS296,4.0
Becky Epanchin-Niell,GEMS297,4.0
James Hunt,ASTR100,3.219277108433735
James Hunt,ASTR101,3.257142857142857
Melissa Hayes-Gehrke,ASTR100,3.0297927461139897
Melissa Hayes-Gehrke,ASTR220,3.38575
Melissa Hayes-Gehrke,ASTR288I,3.736842105263158
Melissa Hayes-Gehrke,ASTR300,3.0886792452830187
Melissa Hayes-Gehrke,ASTR310,3.509243697478992
Melissa Hayes-Gehrke,ASTR315,3.685279187817259
Melissa Hayes-Gehrke,ASTR498,4.0
Melissa Hayes-Gehrke,UNIV100,4.0
Leslie Pick,BISI688B,3.814285714285714
Leslie Pick,BISI701,
Leslie Pick,BISI712,3.8975
Leslie Pick,BSCI337,3.646666666666667
Leslie Pick,BSCI410,3.1554621848739495
Leslie Pick,CBMG688B,3.5444444444444443
Leslie Pick,CPSP218L,3.8058823529411767
Leslie Pick,ENTM701,4.0
Leslie Pick,HLSC322,3.819794344473008
Jacob Coutts,BSOS188B,3.7574074074074075
Jacob Coutts,BSOS233,3.653623188405797
Jacob Coutts,PSYC300,3.7161290322580647
Jacob Coutts,PSYC417,3.7916666666666665
Bailey Kier,BSOS361,3.6358974358974363
Bailey Kier,UNIV100,3.7399999999999998
Humberto Coronado,BMGT110F,3.021698113207547
Humberto Coronado,BMGT372,3.297831978319783
Humberto Coronado,BULM700,3.3396648044692734
Humberto Coronado,BULM701,3.34375
Humberto Coronado,BULM758B,3.556179775280899
Humberto Coronado,BULM758K,3.4963235294117645
Humberto Coronado,BUSI672,3.076923076923077
Humberto Coronado,BUSM758X,3.729032258064516
Humberto Coronado,BUSO751,3.8734693877551023
Daniel Sidman,CMLT270,3.5140350877192983
Daniel Sidman,ENGL101,3.3743589743589744
Daniel Sidman,ENGL101S,3.3464285714285715
Daniel Sidman,ENGL391,3.6052631578947367
Daniel Sidman,ENGL398R,3.7125
Justine DeCamillis,CPJT100,3.8725961538461537
Justine DeCamillis,CPJT101,3.717391304347826
Justine DeCamillis,CPJT200,3.7367741935483876
Justine DeCamillis,CPJT230,3.884313725490196
Justine DeCamillis,CPJT240,3.902702702702703
Justine DeCamillis,CPSP239,3.7695652173913046
Justine DeCamillis,ENGL101,3.160526315789474
Justine DeCamillis,ENGL201,3.3333333333333335
Justine DeCamillis,ENGL206,3.3333333333333335
Justine DeCamillis,MLAW101,4.0
Sarah Kilmer,CPSN230,3.991428571428571
Sarah Kilmer,CPSN240,3.91
Andre Tits,ENEE322,2.2841201716738198
Andre Tits,ENEE322H,3.24468085106383
Andre Tits,ENEE460,2.7919191919191917
Andre Tits,ENEE469O,3.006666666666667
Andre Tits,ENEE661,3.409090909090909
Andre Tits,ENEE664,3.265573770491803
Andre Tits,ENEE698C,
Cynthia Kershaw,SPHL333,3.9442528735632183
Ebonie Johnson Cooper,PLCY213,3.111111111111111
Ebonie Johnson Cooper,PLCY302,3.488888888888889
Ebonie Johnson Cooper,PLCY310,3.588636363636364
Ebonie Johnson Cooper,PLCY689Y,3.7161290322580647
Martha Nell Smith,ENGL359A,3.5208333333333335
Martha Nell Smith,ENGL359C,3.543790849673203
Martha Nell Smith,ENGL379K,3.0934782608695657
Martha Nell Smith,ENGL388D,3.8346153846153848
Martha Nell Smith,ENGL428B,3.957142857142857
Martha Nell Smith,ENGL435,3.3691489361702125
Martha Nell Smith,ENGL439A,3.3666666666666667
Martha Nell Smith,ENGL439D,3.5401234567901234
Martha Nell Smith,ENGL439G,3.3590909090909093
Martha Nell Smith,ENGL458B,3.527272727272728
Martha Nell Smith,ENGL459C,3.572222222222222
Martha Nell Smith,ENGL601,3.6
Martha Nell Smith,ENGL602,3.9298245614035086
Martha Nell Smith,ENGL626,3.9499999999999997
Martha Nell Smith,ENGL749B,3.9625
Martha Nell Smith,ENGL758A,3.9565217391304346
Joseph Falvo,HONR218K,3.7818181818181817
Joseph Falvo,ITAL103,3.0545454545454542
Joseph Falvo,ITAL203,3.085
Joseph Falvo,ITAL204,3.1650793650793654
Joseph Falvo,ITAL207,3.3200000000000003
Joseph Falvo,ITAL215,3.0666666666666664
Joseph Falvo,ITAL241,2.9714285714285715
Joseph Falvo,ITAL351,3.4499999999999997
Joseph Falvo,ITAL411,3.275252525252525
Joseph Falvo,ITAL421,3.275581395348837
Joseph Falvo,ITAL441,3.6666666666666665
Joseph Falvo,ITAL471,3.341666666666667
Joseph Falvo,ITAL473,3.382608695652174
Joseph Falvo,ITAL478C,3.28
Joseph Falvo,ITAL478D,3.5700000000000003
Joseph Falvo,ITAL478F,3.45
Joseph Falvo,ITAL478I,3.814285714285714
Joseph Falvo,ITAL478R,3.18
